"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"d493fdd4-b0e1-4489-baef-d567939b4f85";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 03:52:34"
"d4d8b08c-d0fa-4607-8647-25c4ff56fe17";"127";"5";"charge";"Aptitude test reservation";"2019-11-14 05:05:20"
"d52e13b3-22c2-4d5b-ba94-f85075c9a53c";"104";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-11-14 03:09:38"
"d559d202-1356-4325-870a-4dc334601267";"97";"5";"topup";NULL;"2019-10-09 11:32:09"
"d56bf48b-d490-4f33-b8b3-53d11c89c4c3";"43";"5";"charge";"Konseling 1on1 reservation";"2019-12-03 08:09:31"
"d5d18359-c50a-4fdb-877b-c2c7d7b82d2c";"123";"5";"topup";NULL;"2019-10-10 08:18:17"
"d6ab438a-6903-4aa7-bc1d-1e3ccaf93600";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 03:36:33"
"d72214db-1158-49c4-a8f4-8c98c5bd4ee4";"86";"5";"topup";NULL;"2019-10-13 04:33:10"
"d7fa9847-85f6-43df-bd84-321dcbe9f9c0";"43";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-13 15:22:59"
"d815790a-1053-4c75-afce-b80fb0b68634";"127";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 06:53:52"
"d89745d5-fccc-4848-b4f2-4b4d5fcfce8a";"32";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-14 11:23:11"
"d8b285ca-ab65-485c-b7b6-b6c7fd4d5b01";"127";"5";"charge";"Aptitude test reservation";"2019-11-14 03:53:10"
"d8d8a81c-c357-47d5-8989-efd287c7befd";"123";"5";"topup";NULL;"2019-11-18 07:24:07"
"d9afbca5-a638-426a-b37a-cf03e55113ce";"131";"5";"topup";NULL;"2019-10-12 12:13:33"
"da0dfeb7-3292-4c8f-a8fa-62a3e2015aea";"123";"5";"topup";NULL;"2019-11-28 03:54:36"
"dc812f44-4776-47d6-b27a-c63fc8cd04a3";"135";"5";"charge";"Aptitude test reservation";"2019-11-26 03:30:15"
"dca8e15d-aab0-4a72-9e2f-495bfb56000d";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 07:47:18"
"dcd1d1b5-de31-40dc-beba-164ad0b3c22d";"123";"6";"topup";"Coba topup";"2019-10-24 07:40:55"
"dcd2423f-fd38-40fd-99d1-d4264dc25f9b";"128";"0";"charge";"Full Tryout Registration: Test PAS Semester 1 358e5fca-1ece-4735-8003-e429c08b86ab";"2019-11-29 07:26:13"
"dcfc3185-ce6c-4395-a920-3e7b8e20b4fc";"123";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-11-28 01:51:09"
"dd54a096-d08f-4fd6-be40-90b1f1447036";"127";"0";"charge";"ASF";"2019-10-30 13:47:47"
"dd6d4da6-5f5d-47b0-a4eb-2a105fe15f85";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 04:04:11"
"ddcce352-7d1d-49d5-bc96-90295a477f75";"43";"5";"charge";"Konseling 1on1 reservation";"2019-12-21 00:18:00"
