"UniqueTransactionId";"UniqueOrderId";"TransactionPlaceStatus";"InitiatingOrderTime";"OrderPlacedTime";"CompletedOrderTransactionDate";"TransactionStatus";"UserId";"OrderCreatedDate";"GrossPrice";"UniquePackageId"
"ed433ff2-8f8d-4a15-973d-67c35231cc43";"267807201927206";"alfamart";"2019-08-27 07:00:42";"2019-08-27 14:02:30";"2019-08-28 07:02:40";"expire";"43";"2019-08-27 07:00:42";"40000";"f623443a-d9cf-4302-97da-d29fd2696997"
"edad9c35-6e58-4627-a808-e25ba4a0b018";"954511201917515";"Pending";"2019-12-17 10:22:13";NULL;NULL;"init";"148";"2019-12-17 10:22:13";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"ee15f52e-8e78-4a8b-a5c0-b73f4d5bcff5";"175706201910309";"Pending";"2019-07-10 11:00:36";NULL;NULL;"init";"43";"2019-07-10 11:00:36";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"ee729b32-dcc9-4a88-9151-2787b384f7d0";"28319201909112";"indomaret";"2019-10-09 03:44:34";"2019-10-09 10:44:49";"2019-10-09 03:45:15";"settlement";"123";"2019-10-09 03:44:34";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"ef95549f-80d5-40b1-8c54-07a5799fbae0";"466900202003711";"alfamart";"2020-01-03 09:55:43";"2020-01-03 16:55:47";"2020-01-03 09:56:10";"settlement";"154";"2020-01-03 09:55:43";"390000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"f069d007-37a6-4991-bc2a-292af52326c1";"273200202002710";"indomaret";"2020-01-02 07:41:00";"2020-01-02 14:41:10";"2020-01-06 06:29:32";"settlement";"123";"2020-01-02 07:41:00";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"f08e0615-7a68-4f6b-a920-91f56ea22765";"094000202003108";"Pending";"2020-01-03 02:31:39";NULL;"2020-01-06 04:46:15";"init";"123";"2020-01-03 02:31:39";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"f1cec1ca-ca58-41a4-b705-49a1e8250d08";"268411201917415";"Pending";"2019-12-17 09:42:39";NULL;NULL;"init";"148";"2019-12-17 09:42:39";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"f208724c-d2b6-4859-a48c-1eedbac8d68c";"961006201910909";"Pending";"2019-07-10 12:31:03";NULL;NULL;"init";"43";"2019-07-10 12:31:03";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"f4f3b5e5-48d3-4c3e-a7f6-12b719e13f76";"72579201911617";"alfamart";"2019-10-11 10:04:39";"2019-10-11 17:05:20";"2019-10-11 10:08:40";"settlement";"7";"2019-10-11 10:04:39";"25000";"65f46971-e2c1-4ae9-b52e-4b88de5d5e8e"
"f56f16b2-f68c-4c78-81e0-e95cf613ca13";"8530920190908";"gopay";"2019-10-09 09:21:32";"2019-10-09 16:21:42";"2019-10-09 09:24:15";"settlement";"97";"2019-10-09 09:21:32";"25000";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"f5dc6c17-db03-4912-ae0c-53ec86a69f76";"343206201931509";"Pending";"2019-07-31 10:29:23";NULL;NULL;"init";"104";"2019-07-31 10:29:23";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"f747a0df-7bb5-45c8-94c5-71346af58010";"359106201911409";"Pending";"2019-07-11 03:21:14";NULL;NULL;"init";"43";"2019-07-11 03:21:14";"45000";"f623443a-d9cf-4302-97da-d29fd2696997"
"f7c521f7-0d62-4dfe-bbf4-c4af966647a0";"960406201910519";"Pending";"2019-07-10 12:37:38";NULL;NULL;"init";"43";"2019-07-10 12:37:39";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"f874c94f-7ad1-4002-afc8-e16dfda5c88f";"08839201909614";"alfamart";"2019-10-09 03:50:57";"2019-10-09 10:51:28";"2019-10-09 03:52:29";"settlement";"123";"2019-10-09 03:50:57";"25000";"65f46971-e2c1-4ae9-b52e-4b88de5d5e8e"
"f8c994e7-c56a-44c9-9a75-5f70f9023251";"849406201910409";"Pending";"2019-07-10 10:12:12";NULL;NULL;"init";"107";"2019-07-10 10:12:12";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"f8e1f57a-3196-49ca-9aa3-b476c4572a6f";"994711201902308";"alfamart";"2019-12-02 02:53:43";"2019-12-02 09:53:51";"2019-12-02 02:54:13";"settlement";"148";"2019-12-02 02:53:43";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"fa1a1fee-1abd-4cf3-b8a2-db3dc07cc290";"788311201917215";"Pending";"2019-12-17 13:45:56";NULL;NULL;"init";"148";"2019-12-17 13:45:56";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"fa7b9d42-0a2b-4445-bb72-e1582ad60b21";"791008201907312";"Pending";"2019-09-07 01:04:13";NULL;NULL;"init";"43";"2019-09-07 01:04:13";"230002";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"fb0f63b2-9c37-409a-9a7c-3b8419939eba";"090608201927808";"gopay";"2019-09-27 01:37:09";"2019-09-27 08:37:11";"2019-09-27 03:40:26";"settlement";"43";"2019-09-27 01:37:09";"110000";"7742bfa4-099d-46d5-9328-4b679a677c3b"
"fb914d5b-1e47-4013-877e-7d009151234a";"538411201903113";"echannel";"2019-12-03 06:08:04";"2019-12-03 13:08:46";"2019-12-03 06:09:42";"settlement";"123";"2019-12-03 06:08:04";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"fcab95bb-e157-4185-aa8c-cef0794df0ae";"45211020192808";"indomaret";"2019-11-28 07:23:15";"2019-11-28 14:23:24";"2019-11-28 07:23:38";"settlement";"123";"2019-11-28 07:23:15";"25000";"65f46971-e2c1-4ae9-b52e-4b88de5d5e8e"
"fe25f1f9-273b-4d5a-bce3-3601482f6d03";"568011201917206";"Pending";"2019-12-17 09:15:08";NULL;NULL;"init";"148";"2019-12-17 09:15:08";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"ff520c78-8342-4004-a561-d383654a881c";"569806201910022";"Pending";"2019-07-10 14:21:51";NULL;NULL;"init";"43";"2019-07-10 14:21:53";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"ff5bf355-6b60-4127-a204-ebd49871e75f";"770911201903602";"permata";"2019-12-03 07:38:09";"2019-12-03 14:38:22";"2019-12-03 07:38:43";"settlement";"123";"2019-12-03 07:38:09";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
