"TestParticipantId";"TestId";"TestTypeId";"UniqueUserId";"TestCreatedDate";"LastUpdated";"DepartmentTarget";"StatusLevelParticipant";"UniversityTarget";"TestInfoSource"
"9090213f-8037-4dac-ad93-e83c0c1fcbdc";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"139";"2019-11-11 07:40:31";"2019-11-26 06:35:24";"e8310b45-226a-4383-9446-a9f70c472a82";"FULL";"c6725e9c-5789-4d12-8204-35d3714be59b";NULL
"9442eb0a-43cd-443e-917d-efc4f905524f";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"128";"2019-10-29 02:41:35";"2019-10-29 02:41:35";NULL;"FULL";NULL;NULL
"958beac0-efb5-4df7-b1f8-551efd4eea76";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"128";"2019-10-29 01:15:46";"2019-12-25 19:47:32";"e748fc63-a2db-414b-901d-713cf8f0aee4";"VIDEO";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"a6fdcb54-f7e1-47f6-a80b-7ec5cef7b3d1";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"85";"2019-05-07 14:29:27";"2019-05-07 14:29:27";NULL;"FULL";NULL;NULL
"a8e1a80a-bbca-4a5e-98e0-fdad6682ccc6";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"136";"2019-10-17 18:17:51";"2019-10-21 06:15:40";NULL;"VIDEO";NULL;NULL
"a95c8b17-f995-43aa-822f-661c10c3bab8";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"47";"2019-10-11 08:35:56";"2019-10-11 08:35:56";NULL;"FULL";NULL;NULL
"ba976963-62b8-4760-b3c0-747738ba66df";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"104";"2019-12-19 04:30:11";"2020-01-02 08:02:42";"cad6a26c-0f89-48b6-9415-b8a477cb70dd";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"FACEBOOK"
"be1cc460-ff99-40d5-a986-6d194eee22d6";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"23";"2019-10-14 11:18:30";"2019-10-14 11:18:30";NULL;"FREE";NULL;NULL
"c0c861ed-9677-46e7-88dd-e559c6e771d0";"326f1f42-ea4e-477b-adcc-e9e8088c7fa7";"358e5fca-1ece-4735-8003-e429c08b86ab";"97";"2019-11-29 13:20:40";"2019-11-29 13:20:40";NULL;"FULL";NULL;NULL
"c6d4e004-993d-40fa-bd43-149b626c8ef9";"b70960c9-2652-437c-bc39-ad3bbbe7d9cb";"2f915617-0dfd-4e3f-a392-c3fc8df0ecb7";"43";"2020-01-11 00:08:05";"2020-01-11 00:08:05";"b84d8ce9-31bb-4e38-8416-8cdd6a4cba2c";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"c9260b34-a710-489b-8c9b-8790367e1396";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"84";"2019-05-07 14:27:49";"2019-05-07 14:27:49";NULL;"FULL";NULL;NULL
"cb36a8c7-b57e-466f-aa4b-a45e6c0eb53e";"b70960c9-2652-437c-bc39-ad3bbbe7d9cb";"2f915617-0dfd-4e3f-a392-c3fc8df0ecb7";"155";"2020-01-07 06:25:22";"2020-01-07 06:25:22";"51a2537a-27a0-4e5e-968f-8e47d401c135";"FULL";"4ca3e8f8-fe58-4b9c-8b7e-6fdb1107540a";NULL
"d01f9549-394f-445a-8f7e-e5fbfba08117";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"128";"2019-12-19 02:55:25";"2019-12-19 02:55:25";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"d14165de-2c50-409e-8db7-ac80b8165310";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"155";"2020-01-07 03:44:34";"2020-01-07 05:46:34";"51a2537a-27a0-4e5e-968f-8e47d401c135";"FULL";"4ca3e8f8-fe58-4b9c-8b7e-6fdb1107540a";"INSTAGRAM"
"d1c05ab9-e087-4fe5-bbac-8c17f6cef050";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"127";"2019-10-17 13:53:37";"2019-10-17 13:53:37";NULL;"FREE";NULL;NULL
"d1f7ae24-8be9-4765-aaf8-33ce27435100";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"123";"2019-12-20 03:38:55";"2019-12-20 03:38:55";"af1bfc95-7bb0-4e10-bd1d-7fe934cc27d7";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"d6b9c6e8-5e05-428b-9f98-ef04f7d92665";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"21";"2019-10-14 11:18:25";"2019-10-14 11:18:25";NULL;"FREE";NULL;NULL
"d994acf1-a7e2-4aca-90f3-9c3d079dc425";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"104";"2019-12-19 03:45:23";"2019-12-19 03:45:23";"2d5fd898-2391-4f81-a376-e127ce130bf1";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"dca2ed38-37b9-40ff-9698-e8a49e04c5d0";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"127";"2019-12-19 03:49:22";"2019-12-19 03:51:04";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Instagram"
"e23df3a8-f4bb-4bae-95f9-3be2737c8c1e";"ad021d0b-b74b-416f-b90f-76b684839d01";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"40";"2019-05-08 04:18:21";"2019-05-08 04:18:21";NULL;"FULL";NULL;NULL
"e3a4d264-3b56-41e8-be67-b0a2c4a51f65";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"142";"2019-12-13 10:37:32";"2019-12-13 10:37:32";NULL;"PENDING";NULL;NULL
"e5c81e47-dc8b-4240-8616-293ab95ed8f0";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"131";"2019-10-11 08:25:19";"2019-10-11 08:25:19";NULL;"FULL";NULL;NULL
"e7878dec-5d00-4aed-93c0-d1adb40526a0";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"150";"2019-12-19 08:06:22";"2019-12-19 09:45:30";"abed71ee-e58b-4675-b29f-68d32040c79e";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Instagram"
"ead42b1e-6803-4cdd-9bb6-f8740d5e7e62";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"104";"2019-12-12 09:25:39";"2019-12-31 02:13:30";"389815bb-56db-4ab3-8c8d-35119282ca4f";"FULL";"6550a7b0-747a-456e-ad35-a62ba32384f2";"TWITTER"
"ecd1d6bb-b5ff-489c-9856-d68477ca282a";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"123";"2019-11-28 02:17:55";"2019-11-28 02:17:55";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"ee357c46-c68e-465a-8514-0028a1664eac";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"128";"2019-12-19 03:43:05";"2019-12-19 03:47:24";"2e35458a-0546-41d8-bce5-a084d6a472ef";"FULL";"6550a7b0-747a-456e-ad35-a62ba32384f2";"Twitter"
"f14884c7-4e02-49b1-8ac6-b9af382eadd9";"326f1f42-ea4e-477b-adcc-e9e8088c7fa7";"358e5fca-1ece-4735-8003-e429c08b86ab";"129";"2019-11-29 07:08:23";"2019-11-29 07:08:23";NULL;"FULL";NULL;NULL
"f30909da-582b-4a68-a566-5150dae7e86e";"610583e2-1f72-408c-9101-ff846597c158";"3910cbc4-ecd6-477c-b158-bd3064d3451a";"129";"2019-12-18 09:56:18";"2019-12-18 09:56:18";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"fb66bca3-ea00-4df9-be30-df1f83ffdd8b";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"155";"2020-01-09 10:29:31";"2020-01-09 10:29:31";"b682eecd-c0c8-4381-a1e7-a81e464f27f1";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"fcf33e47-c173-4d56-9b37-4c74c54f48f4";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"129";"2019-12-13 13:07:26";"2019-12-19 03:13:33";"b3db2798-7813-44a6-95fa-0f41ed35039f";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Line"
"fea673d9-175d-4c70-88cc-a9b5ee26bdc0";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"123";"2019-11-28 01:51:09";"2019-11-28 01:53:03";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"feafa0be-ce10-4404-bd10-1483a4414d42";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"129";"2019-11-07 20:38:51";"2019-11-20 06:22:07";"8410ad40-aa00-44a6-b28d-e555c0131ba4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
