"UniqueUserActionId";"UserActionCreatedDate";"UniqueTransactionId";"UserId";"UniqueActionPackageId"
"0fca30ad-dabb-4f17-b6d3-604253ca9ab5";"2019-09-19 13:12:01";"46016eed-6b6f-4784-841b-5b07e3182418";"127";"f623443a-d9cf-4302-97da-d29fd2696997"
"1005ffd0-43ae-43e6-9cd2-17ed55fa8941";"2019-12-02 09:54:14";"f8e1f57a-3196-49ca-9aa3-b476c4572a6f";"148";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"103dd191-0002-4f5a-acd5-a22ae553975d";"2019-10-12 19:13:29";NULL;"120";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"10c1f33e-beff-4bff-88c2-9485ebb4e16b";"2020-01-03 17:10:03";"132fc4bf-1f84-40ad-9934-46c5f889d646";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"114959d4-b5e5-4c59-9f40-bd55a0554b34";"2020-01-03 17:22:21";"07308d5a-bb15-4a82-8ba8-a1f0ad342e0e";"123";"43827957-7c98-436d-9a9b-2eb47096ef67"
"13b58747-1121-4836-8c35-58b0fad3ef6f";"2019-10-24 17:14:11";"8d6acd3c-f9c7-4ce6-a9e0-1eeeb5ff0e3f";"123";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"15157e68-4e27-4500-98f1-0070c8783254";"2019-10-13 11:33:08";NULL;"21";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"156bb417-d1b7-45bd-a734-35bb3f803fa9";"2019-10-24 09:54:15";"30606e72-e9eb-4f55-9fb8-e95206b43b0d";"123";"65f46971-e2c1-4ae9-b52e-4b88de5d5e8e"
"157cf848-0b89-4d59-a124-ec8527ef05be";"2019-10-09 18:08:02";"7284b7b4-3c63-455b-a516-40a54828f1f0";"123";"f623443a-d9cf-4302-97da-d29fd2696997"
"170ead96-355e-49b7-87e4-85438ce87dfb";"2019-10-12 19:13:25";NULL;"33";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"1731ae4c-ff38-42db-b2b4-62afff6d9952";"2019-09-27 11:11:45";"878773e3-5728-470e-8b95-38ba9a241ed8";"123";"f623443a-d9cf-4302-97da-d29fd2696997"
"17952667-08d0-4a1c-8d62-cb3973b422e6";"2019-10-12 20:05:56";NULL;"20";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"188f80c7-304a-4ae4-9367-88c339d2aa55";"2019-10-12 19:13:25";NULL;"48";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"1c0806e2-f1d9-4027-bea0-53ed343601f8";"2019-07-04 11:05:08";NULL;"104";"d2961f68-9350-4b2b-939a-474bad8dc928"
"1cee6264-4ea8-416a-8ec9-6dbc8e0784e3";"2019-08-27 14:07:48";"7ad14573-f223-4965-bd2c-404385eaf482";"43";"f623443a-d9cf-4302-97da-d29fd2696997"
"1d961c4a-09be-4c78-bdf8-43b31808fb68";"2019-10-12 19:13:24";NULL;"27";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"1e084ec3-c74b-480b-8413-c98b605fe4db";"2019-11-11 14:38:28";"902f12ca-0a49-4c5c-8b0d-ac93e2b0b25b";"139";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
